id,x,y,deg,score
1,s1.4457696078431372388450881771859712898731231689453125,s-3.324509803921567918649770945194177329540252685546875,s0,s0.4400980392156863
2,s1.8582696078431368835737202971358783543109893798828125,s-2.824509803921567918649770945194177329540252685546875,s180,s0.4400980392156863
3,s2.270769607843136750346957342117093503475189208984375,s-3.324509803921567918649770945194177329540252685546875,s0,s0.4400980392156863
4,s2.683269607843137283254009162192232906818389892578125,s-2.824509803921567918649770945194177329540252685546875,s180,s0.4400980392156863
5,s-2.830230392156862340158340884954668581485748291015625,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
6,s-2.417730392156862695429708765004761517047882080078125,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
7,s-2.0052303921568626066118667949922382831573486328125,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
8,s-1.592730392156862961883234675042331218719482421875,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
9,s-1.180230392156862873065392705029807984828948974609375,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
10,s-0.76773039215686267322524827250163070857524871826171875,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
11,s-0.355230392156862695429708765004761517047882080078125,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
12,s0.057269607843137344815875877657163073308765888214111328125,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
13,s0.469769607843137482205975175020284950733184814453125,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
14,s0.88226960784313746000151468251715414226055145263671875,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
15,s1.2947696078431374377970541900140233337879180908203125,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
16,s1.7072696078431370825256863099639303982257843017578125,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
17,s2.119769607843136949298923354945145547389984130859375,s-2.024509803921568096285454885219223797321319580078125,s180,s0.4400980392156863
18,s2.532269607843137482205975175020284950733184814453125,s-2.52450980392156765219624503515660762786865234375,s0,s0.4400980392156863
19,s-2.679230392156862539110306897782720625400543212890625,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
20,s-2.266730392156862450292464927770197391510009765625,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
21,s-1.8542303921568628055638328078202903270721435546875,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
22,s-1.4417303921568629387905957628390751779079437255859375,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
23,s-1.0292303921568628499727537928265519440174102783203125,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
24,s-0.61673039215686265013260936029837466776371002197265625,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
25,s-0.2042303921568629221372503934617270715534687042236328125,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
26,s0.2082696078431371111694403452929691411554813385009765625,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
27,s0.62076960784313717223170669967657886445522308349609375,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
28,s1.0332696078431371500272462071734480559825897216796875,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
29,s1.4457696078431372388450881771859712898731231689453125,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
30,s1.8582696078431368835737202971358783543109893798828125,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
31,s2.270769607843136750346957342117093503475189208984375,s-1.72450980392156782983192897518165409564971923828125,s0,s0.4400980392156863
32,s2.683269607843137283254009162192232906818389892578125,s-1.22450980392156782983192897518165409564971923828125,s180,s0.4400980392156863
33,s-2.830230392156862340158340884954668581485748291015625,s-0.4245098039215677854230079901753924787044525146484375,s180,s0.4400980392156863
34,s-2.417730392156862695429708765004761517047882080078125,s-0.9245098039215677854230079901753924787044525146484375,s0,s0.4400980392156863
35,s-2.0052303921568626066118667949922382831573486328125,s-0.4245098039215677854230079901753924787044525146484375,s180,s0.4400980392156863
