id,x,y,deg,score
1,s-1.8447588652482271864840868147439323365688323974609375,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
2,s-1.4322588652482270976662448447314091026782989501953125,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
3,s-1.019758865248226786803797949687577784061431884765625,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
4,s-0.60725886524822725309746829225332476198673248291015625,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
5,s-0.1947588652482270810128994753540609963238239288330078125,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
6,s0.217741134751773035560518110287375748157501220703125,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
7,s0.63024113475177301335605761778424493968486785888671875,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
8,s1.0427411347517729911515971252811141312122344970703125,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
9,s1.4552411347517726358802292452310211956501007080078125,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
10,s1.8677411347517722806088613651809282600879669189453125,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
11,s2.280241134751773035560518110287375748157501220703125,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
12,s2.692741134751772680289150230237282812595367431640625,s-3.519858156028369489121132573927752673625946044921875,s0,s0.39893617021276595
13,s3.105241134751773213196202050312422215938568115234375,s-3.019858156028369489121132573927752673625946044921875,s180,s0.39893617021276595
14,s-3.233258865248226587851831936859525740146636962890625,s-2.219858156028369222667606663890182971954345703125,s180,s0.39893617021276595
15,s-2.820758865248226943123199816909618675708770751953125,s-2.719858156028369222667606663890182971954345703125,s0,s0.39893617021276595
16,s-2.4082588652482268543053578468970954418182373046875,s-2.219858156028369222667606663890182971954345703125,s180,s0.39893617021276595
17,s-1.99575886524822720957672572694718837738037109375,s-2.719858156028369222667606663890182971954345703125,s0,s0.39893617021276595
