id,x,y,deg,score
1,s-2.65799492385786795267677007359452545642852783203125,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
2,s-2.245494923857867863858928103582002222537994384765625,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
3,s-1.8329949238578677750410861335694789886474609375,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
4,s-1.4204949238578681303124540136195719242095947265625,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
5,s-1.007994923857868041494612043607048690319061279296875,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
6,s-0.59549492385786806369907253611017949879169464111328125,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
7,s-0.182994923857867919370079334839829243719577789306640625,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
8,s0.229505076142132169447762635172693990170955657958984375,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
9,s0.64200507614213175866524352386477403342723846435546875,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
10,s1.054505076142131514416178106330335140228271484375,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
11,s1.46700507614213204732322992640547454357147216796875,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
12,s1.87950507614213169205186204635538160800933837890625,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
13,s2.2920050761421322249589138664305210113525390625,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
14,s2.7045050761421318696875459863804280757904052734375,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
15,s3.117005076142131514416178106330335140228271484375,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
16,s3.52950507614213204732322992640547454357147216796875,s-3.906091370558376407728928825235925614833831787109375,s0,s0.38319813324873087
17,s3.94200507614213169205186204635538160800933837890625,s-3.406091370558376407728928825235925614833831787109375,s180,s0.38319813324873087
18,s-4.046494923857867576089120120741426944732666015625,s-2.606091370558376585364612765260972082614898681640625,s180,s0.38319813324873087
19,s-3.6339949238578679313604880007915198802947998046875,s-3.106091370558376585364612765260972082614898681640625,s0,s0.38319813324873087
