id,x,y,deg,score
1,s-0.234096858638743465785836406212183646857738494873046875,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
2,s0.178403141361256623032005563800339587032794952392578125,s-4.0209424083769622626505224616266787052154541015625,s0,s0.3952357709424083
3,s0.5909031413612562122494864524924196302890777587890625,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
4,s1.003403141361256079022723497473634779453277587890625,s-4.0209424083769622626505224616266787052154541015625,s0,s0.3952357709424083
5,s1.415903141361256611929775317548774182796478271484375,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
6,s1.828403141361256256658407437498681247234344482421875,s-4.0209424083769622626505224616266787052154541015625,s0,s0.3952357709424083
7,s2.240903141361256789565459257573820650577545166015625,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
8,s2.653403141361256434294091377523727715015411376953125,s-4.0209424083769622626505224616266787052154541015625,s0,s0.3952357709424083
9,s3.065903141361256079022723497473634779453277587890625,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
10,s3.478403141361256611929775317548774182796478271484375,s-4.0209424083769622626505224616266787052154541015625,s0,s0.3952357709424083
11,s3.890903141361256256658407437498681247234344482421875,s-3.520942408376962706739732311689294874668121337890625,s180,s0.3952357709424083
12,s-4.0975968586387434555717845796607434749603271484375,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
13,s-3.685096858638743366753942609648220241069793701171875,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
14,s-3.27259685863874327793610063963569700717926025390625,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
15,s-2.860096858638743189118258669623173773288726806640625,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
16,s-2.447596858638743544389626549673266708850860595703125,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
17,s-2.035096858638743011482574729598127305507659912109375,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
18,s-1.622596858638743366753942609648220241069793701171875,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
19,s-1.21009685863874327793610063963569700717926025390625,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
20,s-0.7975968586387434111628635946544818580150604248046875,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
21,s-0.385096858638743377856172855899785645306110382080078125,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
22,s0.027403141361256815045077672721163253299891948699951171875,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
23,s0.43990314136125630017915000280481763184070587158203125,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
24,s0.8524031413612560559300845852703787386417388916015625,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
25,s1.264903141361256810881741330376826226711273193359375,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
26,s1.677403141361256455610373450326733291149139404296875,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
27,s2.089903141361256988517425270401872694492340087890625,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
28,s2.502403141361256633246057390351779758930206298828125,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
29,s2.914903141361256277974689510301686823368072509765625,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
30,s3.327403141361256810881741330376826226711273193359375,s-2.720942408376962884375416251714341342449188232421875,s180,s0.3952357709424083
31,s3.739903141361256455610373450326733291149139404296875,s-3.220942408376962884375416251714341342449188232421875,s0,s0.3952357709424083
32,s-3.946596858638743210434540742426179349422454833984375,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
33,s-3.53409685863874312161669877241365611553192138671875,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
34,s-3.121596858638743032798856802401132881641387939453125,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
35,s-2.709096858638743388070224682451225817203521728515625,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
36,s-2.29659685863874329925238271243870258331298828125,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
37,s-1.884096858638743210434540742426179349422454833984375,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
38,s-1.471596858638743565705908622476272284984588623046875,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
39,s-1.05909685863874347688806665246374905109405517578125,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
40,s-0.6465968586387436101148296074825339019298553466796875,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
41,s-0.234096858638743465785836406212183646857738494873046875,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
42,s0.178403141361256623032005563800339587032794952392578125,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
43,s0.5909031413612562122494864524924196302890777587890625,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
44,s1.003403141361256079022723497473634779453277587890625,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
45,s1.415903141361256611929775317548774182796478271484375,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
46,s1.828403141361256256658407437498681247234344482421875,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
47,s2.240903141361256789565459257573820650577545166015625,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
48,s2.653403141361256434294091377523727715015411376953125,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
49,s3.065903141361256079022723497473634779453277587890625,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
50,s3.478403141361256611929775317548774182796478271484375,s-2.420942408376962617921890341676771640777587890625,s0,s0.3952357709424083
51,s3.890903141361256256658407437498681247234344482421875,s-1.920942408376963062011100191739387810230255126953125,s180,s0.3952357709424083
52,s-4.0975968586387434555717845796607434749603271484375,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
53,s-3.685096858638743366753942609648220241069793701171875,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
54,s-3.27259685863874327793610063963569700717926025390625,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
55,s-2.860096858638743189118258669623173773288726806640625,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
56,s-2.447596858638743544389626549673266708850860595703125,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
57,s-2.035096858638743011482574729598127305507659912109375,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
58,s-1.622596858638743366753942609648220241069793701171875,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
59,s-1.21009685863874327793610063963569700717926025390625,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
60,s-0.7975968586387434111628635946544818580150604248046875,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
61,s-0.385096858638743377856172855899785645306110382080078125,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
62,s0.027403141361256815045077672721163253299891948699951171875,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
63,s0.43990314136125630017915000280481763184070587158203125,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
64,s0.8524031413612560559300845852703787386417388916015625,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
65,s1.264903141361256810881741330376826226711273193359375,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
66,s1.677403141361256455610373450326733291149139404296875,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
67,s2.089903141361256988517425270401872694492340087890625,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
68,s2.502403141361256633246057390351779758930206298828125,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
69,s2.914903141361256277974689510301686823368072509765625,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
70,s3.327403141361256810881741330376826226711273193359375,s-1.12094240837696279555757428170181810855865478515625,s180,s0.3952357709424083
71,s3.739903141361256455610373450326733291149139404296875,s-1.62094240837696279555757428170181810855865478515625,s0,s0.3952357709424083
72,s-3.946596858638743210434540742426179349422454833984375,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
73,s-3.53409685863874312161669877241365611553192138671875,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
74,s-3.121596858638743032798856802401132881641387939453125,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
75,s-2.709096858638743388070224682451225817203521728515625,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
76,s-2.29659685863874329925238271243870258331298828125,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
77,s-1.884096858638743210434540742426179349422454833984375,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
78,s-1.471596858638743565705908622476272284984588623046875,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
79,s-1.05909685863874347688806665246374905109405517578125,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
80,s-0.6465968586387436101148296074825339019298553466796875,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
81,s-0.234096858638743465785836406212183646857738494873046875,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
82,s0.178403141361256623032005563800339587032794952392578125,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
83,s0.5909031413612562122494864524924196302890777587890625,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
84,s1.003403141361256079022723497473634779453277587890625,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
85,s1.415903141361256611929775317548774182796478271484375,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
86,s1.828403141361256256658407437498681247234344482421875,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
87,s2.240903141361256789565459257573820650577545166015625,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
88,s2.653403141361256434294091377523727715015411376953125,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
89,s3.065903141361256079022723497473634779453277587890625,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
90,s3.478403141361256611929775317548774182796478271484375,s-0.82094240837696308421556068424251861870288848876953125,s0,s0.3952357709424083
91,s3.890903141361256256658407437498681247234344482421875,s-0.3209424083769629731932582217268645763397216796875,s180,s0.3952357709424083
92,s-4.0975968586387434555717845796607434749603271484375,s0.479057591623036793659906606990261934697628021240234375,s180,s0.3952357709424083
93,s-3.685096858638743366753942609648220241069793701171875,s-0.0209424083769631785845177773808245547115802764892578125,s0,s0.3952357709424083
94,s-3.27259685863874327793610063963569700717926025390625,s0.479057591623036793659906606990261934697628021240234375,s180,s0.3952357709424083
95,s-2.860096858638743189118258669623173773288726806640625,s-0.0209424083769631785845177773808245547115802764892578125,s0,s0.3952357709424083
96,s-2.447596858638743544389626549673266708850860595703125,s0.479057591623036793659906606990261934697628021240234375,s180,s0.3952357709424083
97,s-2.035096858638743011482574729598127305507659912109375,s-0.0209424083769631785845177773808245547115802764892578125,s0,s0.3952357709424083
98,s-1.622596858638743366753942609648220241069793701171875,s0.479057591623036793659906606990261934697628021240234375,s180,s0.3952357709424083
99,s-1.21009685863874327793610063963569700717926025390625,s-0.0209424083769631785845177773808245547115802764892578125,s0,s0.3952357709424083
