id,x,y,deg,score
1,s-1.8446590909090907484113586178864352405071258544921875,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
2,s-1.4321590909090906595935166478739120066165924072265625,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
3,s-1.0196590909090910148648845279240049421787261962890625,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
4,s-0.6071590909090909260470425579114817082881927490234375,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
5,s-0.1946590909090907539624737410122179426252841949462890625,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
6,s0.2178409090909093348553682290003052912652492523193359375,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
7,s0.6303409090909093404064833521260879933834075927734375,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
8,s1.0428409090909089851351154720759950578212738037109375,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
9,s1.4553409090909086298637475920259021222591400146484375,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
10,s1.8678409090909091627707994121010415256023406982421875,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
11,s2.280340909090908585454826607019640505313873291015625,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
12,s2.692840909090909118361878427094779908657073974609375,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
13,s3.105340909090908763090510547044686973094940185546875,s-3.931818181818182100784042631858028471469879150390625,s0,s0.39142045454545465
14,s3.517840909090908407819142666994594037532806396484375,s-3.431818181818182100784042631858028471469879150390625,s180,s0.39142045454545465
15,s-3.645659090909090682686155560077168047428131103515625,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
16,s-3.233159090909091037957523440127260982990264892578125,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
17,s-2.8206590909090909491396814701147377490997314453125,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
18,s-2.408159090909090860321839500102214515209197998046875,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
19,s-1.99565909090909077150399753008969128131866455078125,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
20,s-1.583159090909090682686155560077168047428131103515625,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
21,s-1.1706590909090908159129185150959528982639312744140625,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
22,s-0.7581590909090907270950765450834296643733978271484375,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
23,s-0.34565909090909052725493211255525238811969757080078125,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
24,s0.06684090909090951992954643401390057988464832305908203125,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
25,s0.479340909090909594869600596211967058479785919189453125,s-2.631818181818182278419726571883074939250946044921875,s180,s0.39142045454545465
26,s0.8918409090909091840870814849040471017360687255859375,s-3.131818181818182278419726571883074939250946044921875,s0,s0.39142045454545465
