id,x,y,deg,score
1,s-0.425274193548387080543449201286421157419681549072265625,s-2.379032258064516458517800856498070061206817626953125,s0,s0.41951612903225804
2,s-0.0127741935483870090728419910419688676483929157257080078125,s-1.879032258064516458517800856498070061206817626953125,s180,s0.41951612903225804
3,s0.399725806451612653003024888676009140908718109130859375,s-2.379032258064516458517800856498070061206817626953125,s0,s0.41951612903225804
4,s0.8122258064516127973320180899463593959808349609375,s-1.879032258064516458517800856498070061206817626953125,s180,s0.41951612903225804
5,s1.2247258064516126641052551349275745451450347900390625,s-2.379032258064516458517800856498070061206817626953125,s0,s0.41951612903225804
6,s1.6372258064516127529230971049400977790355682373046875,s-1.879032258064516458517800856498070061206817626953125,s180,s0.41951612903225804
7,s2.0497258064516135078747538500465452671051025390625,s-2.379032258064516458517800856498070061206817626953125,s0,s0.41951612903225804
8,s-2.226274193548386737262489987188018858432769775390625,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
9,s-1.813774193548387092533857867238111793994903564453125,s-1.5790322580645164141088798714918084442615509033203125,s0,s0.41951612903225804
10,s-1.4012741935483872257606208222568966448307037353515625,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
11,s-0.9887741935483871369427788522443734109401702880859375,s-1.5790322580645164141088798714918084442615509033203125,s0,s0.41951612903225804
12,s-0.5762741935483870481249368822318501770496368408203125,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
13,s-0.1637741935483870425738217591060674749314785003662109375,s-1.5790322580645164141088798714918084442615509033203125,s0,s0.41951612903225804
14,s0.2487258064516128241994152858751476742327213287353515625,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
15,s0.6612258064516129962839841027744114398956298828125,s-1.5790322580645164141088798714918084442615509033203125,s0,s0.41951612903225804
16,s1.0737258064516128630572211477556265890598297119140625,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
17,s1.4862258064516129518750631177681498229503631591796875,s-1.5790322580645164141088798714918084442615509033203125,s0,s0.41951612903225804
18,s1.8987258064516130406929050877806730568408966064453125,s-1.0790322580645164141088798714918084442615509033203125,s180,s0.41951612903225804
19,s-2.075274193548386936214456000016070902347564697265625,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
20,s-1.662774193548387291485823880066163837909698486328125,s-0.279032258064516536233412580259027890861034393310546875,s180,s0.41951612903225804
21,s-1.2502741935483872026679819100536406040191650390625,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
22,s-0.837774193548387113850139940041117370128631591796875,s-0.279032258064516536233412580259027890861034393310546875,s180,s0.41951612903225804
23,s-0.425274193548387080543449201286421157419681549072265625,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
24,s-0.0127741935483870090728419910419688676483929157257080078125,s-0.279032258064516536233412580259027890861034393310546875,s180,s0.41951612903225804
25,s0.399725806451612653003024888676009140908718109130859375,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
26,s0.8122258064516127973320180899463593959808349609375,s-0.279032258064516536233412580259027890861034393310546875,s180,s0.41951612903225804
27,s1.2247258064516126641052551349275745451450347900390625,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
28,s1.6372258064516127529230971049400977790355682373046875,s-0.279032258064516536233412580259027890861034393310546875,s180,s0.41951612903225804
29,s2.0497258064516135078747538500465452671051025390625,s-0.77903225806451648072226134900120086967945098876953125,s0,s0.41951612903225804
30,s-2.226274193548386737262489987188018858432769775390625,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
31,s-1.813774193548387092533857867238111793994903564453125,s0.020967741935483751036795041500226943753659725189208984375,s0,s0.41951612903225804
32,s-1.4012741935483872257606208222568966448307037353515625,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
33,s-0.9887741935483871369427788522443734109401702880859375,s0.020967741935483751036795041500226943753659725189208984375,s0,s0.41951612903225804
34,s-0.5762741935483870481249368822318501770496368408203125,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
35,s-0.1637741935483870425738217591060674749314785003662109375,s0.020967741935483751036795041500226943753659725189208984375,s0,s0.41951612903225804
36,s0.2487258064516128241994152858751476742327213287353515625,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
37,s0.6612258064516129962839841027744114398956298828125,s0.020967741935483751036795041500226943753659725189208984375,s0,s0.41951612903225804
38,s1.0737258064516128630572211477556265890598297119140625,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
39,s1.4862258064516129518750631177681498229503631591796875,s0.020967741935483751036795041500226943753659725189208984375,s0,s0.41951612903225804
40,s1.8987258064516130406929050877806730568408966064453125,s0.52096774193548378573126456103636883199214935302734375,s180,s0.41951612903225804
41,s-2.075274193548386936214456000016070902347564697265625,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
42,s-1.662774193548387291485823880066163837909698486328125,s1.320967741935483719117883083526976406574249267578125,s180,s0.41951612903225804
43,s-1.2502741935483872026679819100536406040191650390625,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
44,s-0.837774193548387113850139940041117370128631591796875,s1.320967741935483719117883083526976406574249267578125,s180,s0.41951612903225804
45,s-0.425274193548387080543449201286421157419681549072265625,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
46,s-0.0127741935483870090728419910419688676483929157257080078125,s1.320967741935483719117883083526976406574249267578125,s180,s0.41951612903225804
47,s0.399725806451612653003024888676009140908718109130859375,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
48,s0.8122258064516127973320180899463593959808349609375,s1.320967741935483719117883083526976406574249267578125,s180,s0.41951612903225804
49,s1.2247258064516126641052551349275745451450347900390625,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
50,s1.6372258064516127529230971049400977790355682373046875,s1.320967741935483719117883083526976406574249267578125,s180,s0.41951612903225804
51,s2.0497258064516135078747538500465452671051025390625,s0.82096774193548360809558062101132236421108245849609375,s0,s0.41951612903225804
52,s-2.226274193548386737262489987188018858432769775390625,s2.120967741935483541482199143501929938793182373046875,s180,s0.41951612903225804
53,s-1.813774193548387092533857867238111793994903564453125,s1.620967741935483541482199143501929938793182373046875,s0,s0.41951612903225804
