id,x,y,deg,score
1,s-2.41028571428571414259067751117981970310211181640625,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
2,s-1.997785714285714053772835541167296469211578369140625,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
3,s-1.5852857142857141869995984961860813200473785400390625,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
4,s-1.1727857142857143202263614512048661708831787109375,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
5,s-0.760285714285714231408519481192342936992645263671875,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
6,s-0.34778571428571414259067751117981970310211181640625,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
7,s0.06471428571428550213795460877008736133575439453125,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
8,s0.477214285714285590955796578782610595226287841796875,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
9,s0.8897142857142856797736385487951338291168212890625,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
10,s1.302214285714285768591480518807657063007354736328125,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
11,s1.71471428571428585740932248882018029689788818359375,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
12,s2.12721428571428550213795460877008736133575439453125,s-2.14725274725274939413566244184039533138275146484375,s180,s0.38252747252747255
13,s2.53971428571428514686658672871999442577362060546875,s-2.64725274725274939413566244184039533138275146484375,s0,s0.38252747252747255
14,s-2.56128571428571394363871149835176765918731689453125,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
15,s-2.14878571428571429891007937840186059474945068359375,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
16,s-1.736285714285714210092237408389337360858917236328125,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
17,s-1.3237857142857143433190003634081222116947174072265625,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
18,s-0.9112857142857142545011583933955989778041839599609375,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
19,s-0.4987857142857141656833164233830757439136505126953125,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
20,s-0.08628571428571429891007937840186059474945068359375,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
21,s0.326214285714285789907762591610662639141082763671875,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
22,s0.7387142857142858787256045616231858730316162109375,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
23,s1.151214285714285967543446531635709106922149658203125,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
24,s1.56371428571428605636128850164823234081268310546875,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
25,s1.97621428571428570108992062159813940525054931640625,s-1.8472527472527493497267414568341337144374847412109375,s0,s0.38252747252747255
26,s2.38871428571428534581855274154804646968841552734375,s-1.3472527472527493497267414568341337144374847412109375,s180,s0.38252747252747255
27,s-2.41028571428571414259067751117981970310211181640625,s-1.047252747252749305317820471827872097492218017578125,s0,s0.38252747252747255
28,s-1.997785714285714053772835541167296469211578369140625,s-0.547252747252749305317820471827872097492218017578125,s180,s0.38252747252747255
29,s-1.5852857142857141869995984961860813200473785400390625,s-1.047252747252749305317820471827872097492218017578125,s0,s0.38252747252747255
30,s-1.1727857142857143202263614512048661708831787109375,s-0.547252747252749305317820471827872097492218017578125,s180,s0.38252747252747255
31,s-0.760285714285714231408519481192342936992645263671875,s-1.047252747252749305317820471827872097492218017578125,s0,s0.38252747252747255
