id,x,y,deg,score
1,s0.799499999999999655386773156351409852504730224609375,s-2.089743589743589868845674573094584047794342041015625,s0,s0.4741025641025641
2,s1.2119999999999999662492200513952411711215972900390625,s-1.5897435897435900908902794981258921325206756591796875,s180,s0.4741025641025641
3,s1.6245000000000000550670620214077644050121307373046875,s-2.089743589743589868845674573094584047794342041015625,s0,s0.4741025641025641
4,s-1.826499999999999790389892950770445168018341064453125,s-0.78974358974358993545905605060397647321224212646484375,s180,s0.4741025641025641
5,s-1.4139999999999997015720509807579219341278076171875,s-1.289743589743590046481358513119630515575408935546875,s0,s0.4741025641025641
6,s-1.0014999999999998347988139357767067849636077880859375,s-0.78974358974358993545905605060397647321224212646484375,s180,s0.4741025641025641
7,s-0.5890000000000001900701818158267997205257415771484375,s-1.289743589743590046481358513119630515575408935546875,s0,s0.4741025641025641
8,s-0.176499999999999934718886152040795423090457916259765625,s-0.78974358974358993545905605060397647321224212646484375,s180,s0.4741025641025641
9,s0.2360000000000001818545314336006413213908672332763671875,s-1.289743589743590046481358513119630515575408935546875,s0,s0.4741025641025641
10,s0.648499999999999854338739169179461896419525146484375,s-0.78974358974358993545905605060397647321224212646484375,s180,s0.4741025641025641
11,s1.0610000000000001652011860642232932150363922119140625,s-1.289743589743590046481358513119630515575408935546875,s0,s0.4741025641025641
12,s1.4735000000000002540190280342358164489269256591796875,s-0.78974358974358993545905605060397647321224212646484375,s180,s0.4741025641025641
13,s-1.6754999999999997672972540385671891272068023681640625,s-0.48974358974358978002783260308206081390380859375,s0,s0.4741025641025641
14,s-1.2629999999999999005240169935859739780426025390625,s0.010256410256410185277697877381797297857701778411865234375,s180,s0.4741025641025641
15,s-0.8505000000000000337507799486047588288784027099609375,s-0.48974358974358978002783260308206081390380859375,s0,s0.4741025641025641
16,s-0.438000000000000000444089209850062616169452667236328125,s0.010256410256410185277697877381797297857701778411865234375,s180,s0.4741025641025641
17,s-0.025499999999999918565141143744767759926617145538330078125,s-0.48974358974358978002783260308206081390380859375,s0,s0.4741025641025641
18,s0.387000000000000177191594730174983851611614227294921875,s0.010256410256410185277697877381797297857701778411865234375,s180,s0.4741025641025641
19,s0.799499999999999655386773156351409852504730224609375,s-0.48974358974358978002783260308206081390380859375,s0,s0.4741025641025641
20,s1.2119999999999999662492200513952411711215972900390625,s0.010256410256410185277697877381797297857701778411865234375,s180,s0.4741025641025641
21,s1.6245000000000000550670620214077644050121307373046875,s-0.48974358974358978002783260308206081390380859375,s0,s0.4741025641025641
22,s-1.826499999999999790389892950770445168018341064453125,s0.81025641025641037540339084443985484540462493896484375,s180,s0.4741025641025641
23,s-1.4139999999999997015720509807579219341278076171875,s0.310256410256410486425693306955508887767791748046875,s0,s0.4741025641025641
24,s-1.0014999999999998347988139357767067849636077880859375,s0.81025641025641037540339084443985484540462493896484375,s180,s0.4741025641025641
25,s-0.5890000000000001900701818158267997205257415771484375,s0.310256410256410486425693306955508887767791748046875,s0,s0.4741025641025641
26,s-0.176499999999999934718886152040795423090457916259765625,s0.81025641025641037540339084443985484540462493896484375,s180,s0.4741025641025641
27,s0.2360000000000001818545314336006413213908672332763671875,s0.310256410256410486425693306955508887767791748046875,s0,s0.4741025641025641
28,s0.648499999999999854338739169179461896419525146484375,s0.81025641025641037540339084443985484540462493896484375,s180,s0.4741025641025641
29,s1.0610000000000001652011860642232932150363922119140625,s0.310256410256410486425693306955508887767791748046875,s0,s0.4741025641025641
30,s1.4735000000000002540190280342358164489269256591796875,s0.81025641025641037540339084443985484540462493896484375,s180,s0.4741025641025641
31,s-1.6754999999999997672972540385671891272068023681640625,s1.1102564102564100867454044418991543352603912353515625,s0,s0.4741025641025641
32,s-1.2629999999999999005240169935859739780426025390625,s1.6102564102564100867454044418991543352603912353515625,s180,s0.4741025641025641
33,s-0.8505000000000000337507799486047588288784027099609375,s1.1102564102564100867454044418991543352603912353515625,s0,s0.4741025641025641
34,s-0.438000000000000000444089209850062616169452667236328125,s1.6102564102564100867454044418991543352603912353515625,s180,s0.4741025641025641
35,s-0.025499999999999918565141143744767759926617145538330078125,s1.1102564102564100867454044418991543352603912353515625,s0,s0.4741025641025641
36,s0.387000000000000177191594730174983851611614227294921875,s1.6102564102564100867454044418991543352603912353515625,s180,s0.4741025641025641
37,s0.799499999999999655386773156351409852504730224609375,s1.1102564102564100867454044418991543352603912353515625,s0,s0.4741025641025641
38,s1.2119999999999999662492200513952411711215972900390625,s1.6102564102564100867454044418991543352603912353515625,s180,s0.4741025641025641
39,s1.6245000000000000550670620214077644050121307373046875,s1.1102564102564100867454044418991543352603912353515625,s0,s0.4741025641025641
