id,x,y,deg,score
1,s-0.2305547445255474448000398979274905286729335784912109375,s-3.1153284671532848193464815267361700534820556640625,s180,s0.41058394160583944
2,s0.181945255474452671773377687713946215808391571044921875,s-3.6153284671532848193464815267361700534820556640625,s0,s0.41058394160583944
3,s0.59444525547445270508006842646864242851734161376953125,s-3.1153284671532848193464815267361700534820556640625,s180,s0.41058394160583944
4,s1.006945255474452682875607933965511620044708251953125,s-3.6153284671532848193464815267361700534820556640625,s0,s0.41058394160583944
5,s1.419445255474452327604240053915418684482574462890625,s-3.1153284671532848193464815267361700534820556640625,s180,s0.41058394160583944
6,s1.831945255474451972332872173865325748920440673828125,s-3.6153284671532848193464815267361700534820556640625,s0,s0.41058394160583944
7,s2.244445255474452505239923993940465152263641357421875,s-3.1153284671532848193464815267361700534820556640625,s180,s0.41058394160583944
8,s2.656945255474452149968556113890372216701507568359375,s-3.6153284671532848193464815267361700534820556640625,s0,s0.41058394160583944
9,s3.069445255474452682875607933965511620044708251953125,s-3.1153284671532848193464815267361700534820556640625,s180,s0.41058394160583944
10,s-3.269054744525547118172426053206436336040496826171875,s-2.315328467153284552892955616698600351810455322265625,s180,s0.41058394160583944
11,s-2.856554744525547473443793933256529271602630615234375,s-2.815328467153284552892955616698600351810455322265625,s0,s0.41058394160583944
12,s-2.44405474452554738462595196324400603771209716796875,s-2.315328467153284552892955616698600351810455322265625,s180,s0.41058394160583944
13,s-2.03155474452554773989731984329409897327423095703125,s-2.815328467153284552892955616698600351810455322265625,s0,s0.41058394160583944
14,s-1.6190547445255474290348729482502676546573638916015625,s-2.315328467153284552892955616698600351810455322265625,s180,s0.41058394160583944
15,s-1.2065547445255473402170309782377444207668304443359375,s-2.815328467153284552892955616698600351810455322265625,s0,s0.41058394160583944
16,s-0.79405474452554736242149147074087522923946380615234375,s-2.315328467153284552892955616698600351810455322265625,s180,s0.41058394160583944
17,s-0.381554744525547218092498269470524974167346954345703125,s-2.815328467153284552892955616698600351810455322265625,s0,s0.41058394160583944
18,s0.030945255474452863786449796634769882075488567352294921875,s-2.315328467153284552892955616698600351810455322265625,s180,s0.41058394160583944
