id,x,y,deg,score
1,s-3.232888888888889145079019726836122572422027587890625,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
2,s-2.820388888888889056261177756823599338531494140625,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
3,s-2.4078888888888894115325456368736922740936279296875,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
4,s-1.995388888888889322714703666861169040203094482421875,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
5,s-1.58288888888888923389686169684864580631256103515625,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
6,s-1.170388888888889145079019726836122572422027587890625,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
7,s-0.757888888888889500350387606886215507984161376953125,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
8,s-0.3453888888888894115325456368736922740936279296875,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
9,s0.067111111111110677285296333138830959796905517578125,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
10,s0.47961111111111076610313830315135419368743896484375,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
11,s0.892111111111110854920980273163877427577972412109375,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
12,s1.304611111111110499649612393113784492015838623046875,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
13,s1.717111111111110144378244513063691556453704833984375,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
14,s2.129611111111110677285296333138830959796905517578125,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
15,s2.542111111111110322013928453088738024234771728515625,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
16,s2.954611111111110854920980273163877427577972412109375,s-2.948366013071896940545002507860772311687469482421875,s180,s0.36764705882352944
17,s3.367111111111110499649612393113784492015838623046875,s-3.448366013071896940545002507860772311687469482421875,s0,s0.36764705882352944
18,s-3.383888888888888946127053714008070528507232666015625,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
19,s-2.971388888888889301398421594058163464069366455078125,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
20,s-2.5588888888888892125805796240456402301788330078125,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
21,s-2.146388888888889567851947504095733165740966796875,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
22,s-1.7338888888888892569895006090519018471240997314453125,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
23,s-1.3213888888888891681716586390393786132335662841796875,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
24,s-0.908888888888889301398421594058163464069366455078125,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
25,s-0.4963888888888892125805796240456402301788330078125,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
26,s-0.083888888888889123762737654033116996288299560546875,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
27,s0.32861111111111096505510431597940623760223388671875,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
28,s0.741111111111111053872946285991929471492767333984375,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
29,s1.153611111111110698601578405941836535930633544921875,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
30,s1.566111111111110343330210525891743600368499755859375,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
31,s1.978611111111110876237262345966883003711700439453125,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
32,s2.391111111111110520965894465916790068149566650390625,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
33,s2.803611111111111053872946285991929471492767333984375,s-2.648366013071896674091476597823202610015869140625,s0,s0.36764705882352944
34,s3.216111111111110698601578405941836535930633544921875,s-2.148366013071896674091476597823202610015869140625,s180,s0.36764705882352944
35,s-3.232888888888889145079019726836122572422027587890625,s-1.84836601307189685172716053784824907779693603515625,s0,s0.36764705882352944
36,s-2.820388888888889056261177756823599338531494140625,s-1.34836601307189685172716053784824907779693603515625,s180,s0.36764705882352944
37,s-2.4078888888888894115325456368736922740936279296875,s-1.84836601307189685172716053784824907779693603515625,s0,s0.36764705882352944
38,s-1.995388888888889322714703666861169040203094482421875,s-1.34836601307189685172716053784824907779693603515625,s180,s0.36764705882352944
39,s-1.58288888888888923389686169684864580631256103515625,s-1.84836601307189685172716053784824907779693603515625,s0,s0.36764705882352944
