id,x,y,deg,score
1,s-1.8581410256410253456493819612660445272922515869140625,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
2,s-1.4456410256410257009207498413161374628543853759765625,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
3,s-1.0331410256410256121029078713036142289638519287109375,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
4,s-0.620641025641025745329670826322399079799652099609375,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
5,s-0.2081410256410255732451020094231353141367435455322265625,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
6,s0.2043589743589745155727399605893879197537899017333984375,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
7,s0.616858974358974077034645233652554452419281005859375,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
8,s1.0293589743589739438078822786337696015834808349609375,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
9,s1.4418589743589744767149340987089090049266815185546875,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
10,s1.8543589743589741214435662186588160693645477294921875,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
11,s2.266858974358974432306013113702647387981414794921875,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
12,s2.679358974358974077034645233652554452419281005859375,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
13,s3.091858974358973721763277353602461516857147216796875,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
14,s3.504358974358974254670329173677600920200347900390625,s-3.94358974358974467833149901707656681537628173828125,s0,s0.38712837051282045
15,s3.916858974358973899398961293627507984638214111328125,s-3.44358974358974467833149901707656681537628173828125,s180,s0.38712837051282045
16,s-4.07164102564102581283123072353191673755645751953125,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
17,s-3.659141025641025724013388753519393503665924072265625,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
18,s-3.246641025641025635195546783506870269775390625,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
19,s-2.834141025641025546377704813494347035884857177734375,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
20,s-2.421641025641025901649072693544439971446990966796875,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
21,s-2.009141025641025368742020873469300568103790283203125,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
22,s-1.5966410256410255019687838284880854189395904541015625,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
23,s-1.1841410256410254131509418584755621850490570068359375,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
24,s-0.771641025641025546377704813494347035884857177734375,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
25,s-0.359141025641025402048711612223996780812740325927734375,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
26,s0.053358974358974721463599877324668341316282749176025390625,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
27,s0.465858974358974275986611246480606496334075927734375,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
28,s0.878358974358973920715243366430513560771942138671875,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
29,s1.2908589743589746756669001115369610488414764404296875,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
30,s1.7033589743589743203955322314868681132793426513671875,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
31,s2.115858974358974631257979126530699431896209716796875,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
32,s2.528358974358974275986611246480606496334075927734375,s-2.6435897435897448559671829571016132831573486328125,s180,s0.38712837051282045
33,s2.940858974358973920715243366430513560771942138671875,s-3.1435897435897448559671829571016132831573486328125,s0,s0.38712837051282045
