id,x,y,deg,score
1,s-2.65454999999999952109419609769247472286224365234375,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
2,s-2.24204999999999987636556397774256765842437744140625,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
3,s-1.829549999999999787547722007730044424533843994140625,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
4,s-1.417049999999999698729880037717521190643310546875,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
5,s-1.0045500000000002760458528427989222109317779541015625,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
6,s-0.5920500000000001872280108727863989770412445068359375,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
7,s-0.1795500000000000706545932871449622325599193572998046875,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
8,s0.232950000000000045918824298496474511921405792236328125,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
9,s0.6454500000000000792255150372511707246303558349609375,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
10,s1.0579499999999999459987520822323858737945556640625,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
11,s1.470449999999999590727384202182292938232421875,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
12,s1.88295000000000012363443602225743234157562255859375,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
13,s2.29544999999999976836306814220733940601348876953125,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
14,s2.707950000000000301270119962282478809356689453125,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
15,s3.1204499999999999459987520822323858737945556640625,s-3.489999999999999769073610877967439591884613037109375,s0,s0.3864664515624999
16,s3.532949999999999590727384202182292938232421875,s-2.989999999999999769073610877967439591884613037109375,s180,s0.3864664515624999
17,s-3.630549999999999499777914024889469146728515625,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
18,s-3.2180499999999998550492819049395620822906494140625,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
19,s-2.805549999999999766231439934927038848400115966796875,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
20,s-2.39304999999999967741359796491451561450958251953125,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
21,s-1.9805499999999998106403609199333004653453826904296875,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
22,s-1.5680499999999997218225189499207772314548492431640625,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
23,s-1.1555499999999998550492819049395620822906494140625,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
24,s-0.7430499999999999882760448599583469331264495849609375,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
25,s-0.330549999999999843947051658687996678054332733154296875,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
26,s0.081950000000000244870790311324526555836200714111328125,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
27,s0.4944500000000002781774810500792227685451507568359375,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
28,s0.9069499999999999229061131700291298329830169677734375,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
29,s1.319449999999999789679350215010344982147216796875,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
30,s1.73195000000000032258640203508548438549041748046875,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
31,s2.14444999999999996731503415503539144992828369140625,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
32,s2.556950000000000500222085975110530853271484375,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
33,s2.9694500000000001449507180950604379177093505859375,s-2.189999999999999946709294817992486059665679931640625,s180,s0.3864664515624999
34,s3.381949999999999789679350215010344982147216796875,s-2.689999999999999946709294817992486059665679931640625,s0,s0.3864664515624999
35,s-3.479549999999999698729880037717521190643310546875,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
36,s-3.067049999999999609912038067704997956752777099609375,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
37,s-2.65454999999999952109419609769247472286224365234375,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
38,s-2.24204999999999987636556397774256765842437744140625,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
39,s-1.829549999999999787547722007730044424533843994140625,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
40,s-1.417049999999999698729880037717521190643310546875,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
41,s-1.0045500000000002760458528427989222109317779541015625,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
42,s-0.5920500000000001872280108727863989770412445068359375,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
43,s-0.1795500000000000706545932871449622325599193572998046875,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
44,s0.232950000000000045918824298496474511921405792236328125,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
45,s0.6454500000000000792255150372511707246303558349609375,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
46,s1.0579499999999999459987520822323858737945556640625,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
47,s1.470449999999999590727384202182292938232421875,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
48,s1.88295000000000012363443602225743234157562255859375,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
49,s2.29544999999999976836306814220733940601348876953125,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
50,s2.707950000000000301270119962282478809356689453125,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
51,s3.1204499999999999459987520822323858737945556640625,s-1.890000000000000124344978758017532527446746826171875,s0,s0.3864664515624999
52,s3.532949999999999590727384202182292938232421875,s-1.390000000000000124344978758017532527446746826171875,s180,s0.3864664515624999
53,s-3.630549999999999499777914024889469146728515625,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
54,s-3.2180499999999998550492819049395620822906494140625,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
55,s-2.805549999999999766231439934927038848400115966796875,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
56,s-2.39304999999999967741359796491451561450958251953125,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
57,s-1.9805499999999998106403609199333004653453826904296875,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
58,s-1.5680499999999997218225189499207772314548492431640625,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
59,s-1.1555499999999998550492819049395620822906494140625,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
60,s-0.7430499999999999882760448599583469331264495849609375,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
61,s-0.330549999999999843947051658687996678054332733154296875,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
62,s0.081950000000000244870790311324526555836200714111328125,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
63,s0.4944500000000002781774810500792227685451507568359375,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
64,s0.9069499999999999229061131700291298329830169677734375,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
65,s1.319449999999999789679350215010344982147216796875,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
66,s1.73195000000000032258640203508548438549041748046875,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
67,s2.14444999999999996731503415503539144992828369140625,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
68,s2.556950000000000500222085975110530853271484375,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
69,s2.9694500000000001449507180950604379177093505859375,s-0.58999999999999974686915038546430878341197967529296875,s180,s0.3864664515624999
70,s3.381949999999999789679350215010344982147216796875,s-1.089999999999999857891452847979962825775146484375,s0,s0.3864664515624999
71,s-3.479549999999999698729880037717521190643310546875,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
72,s-3.067049999999999609912038067704997956752777099609375,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
73,s-2.65454999999999952109419609769247472286224365234375,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
74,s-2.24204999999999987636556397774256765842437744140625,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
75,s-1.829549999999999787547722007730044424533843994140625,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
76,s-1.417049999999999698729880037717521190643310546875,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
77,s-1.0045500000000002760458528427989222109317779541015625,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
78,s-0.5920500000000001872280108727863989770412445068359375,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
79,s-0.1795500000000000706545932871449622325599193572998046875,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
80,s0.232950000000000045918824298496474511921405792236328125,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
81,s0.6454500000000000792255150372511707246303558349609375,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
82,s1.0579499999999999459987520822323858737945556640625,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
83,s1.470449999999999590727384202182292938232421875,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
84,s1.88295000000000012363443602225743234157562255859375,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
85,s2.29544999999999976836306814220733940601348876953125,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
86,s2.707950000000000301270119962282478809356689453125,s0.21000000000000007549516567451064474880695343017578125,s180,s0.3864664515624999
87,s3.1204499999999999459987520822323858737945556640625,s-0.28999999999999992450483432548935525119304656982421875,s0,s0.3864664515624999
